day,initial_sequence,initial_tick_id,initial_timestamp_utc,initial_side,reversal_triggered,reversal_tick_id,reversal_timestamp_utc,reversal_side,initial_realized_loss,reversal_entry,double_recovered,double_recovery_seconds,single_recovered,single_recovery_seconds,max_adverse_before_scale_down,double_max_favorable,scaled_pnl_60,scaled_pnl_300
2026-02-06,1,30624312,2026-02-06T03:49:15+00:00,short,False,,,,,,,,,,,,,
2026-02-06,2,30769391,2026-02-06T16:11:15+00:00,short,True,30769577.0,2026-02-06T16:12:12+00:00,long,-0.9500000000007276,4948.14,True,5.733,True,8.058,-1.7700000000022555,2.889999999999418,-2.3500000000012733,-13.230000000001382
2026-02-06,3,30776891,2026-02-06T16:45:18+00:00,short,False,,,,,,,,,,,,,
2026-02-06,4,30799794,2026-02-06T18:45:11+00:00,short,True,30799885.0,2026-02-06T18:45:53+00:00,long,-0.9699999999993452,4964.82,True,2.841,True,88.334,-1.4699999999993452,6.250000000001819,-0.039999999999054126,1.7800000000015643
2026-02-06,5,30812093,2026-02-06T20:10:35+00:00,long,False,,,,,,,,,,,,,
2026-02-09,1,30838423,2026-02-09T00:02:56+00:00,long,True,30838458.0,2026-02-09T00:03:10+00:00,short,-1.6899999999995998,5033.21,True,42.164,True,47.084,-6.849999999999454,13.330000000000837,2.369999999999891,-9.550000000000182
2026-02-09,2,30890078,2026-02-09T04:32:58+00:00,long,True,30890124.0,2026-02-09T04:33:16+00:00,short,-1.730000000000473,5015.32,False,,False,,-15.830000000000837,-1.8100000000004002,-10.650000000000546,-13.8100000000004
2026-02-09,3,30927597,2026-02-09T07:56:31+00:00,long,False,,,,,,,,,,,,,
2026-02-09,4,30973587,2026-02-09T12:34:27+00:00,long,False,,,,,,,,,,,,,
2026-02-09,5,31042730,2026-02-09T18:15:19+00:00,short,True,31042743.0,2026-02-09T18:15:24+00:00,long,-0.8299999999999272,5059.42,False,,False,,-17.75,-0.37000000000080036,-4.790000000000873,-10.930000000000291
2026-02-10,1,31088299,2026-02-09T23:40:26+00:00,short,True,31088313.0,2026-02-09T23:40:32+00:00,long,-0.8999999999996362,5023.69,True,13.996,True,17.001,-1.9199999999982538,35.64000000000124,-3.029999999998836,15.030000000000655
2026-02-10,2,31123769,2026-02-10T02:37:12+00:00,long,True,31123926.0,2026-02-10T02:38:08+00:00,short,-0.7899999999999636,5042.53,False,,False,,-14.590000000001055,-0.4900000000006912,-9.230000000000473,-11.890000000000327
2026-02-10,3,31135821,2026-02-10T03:36:26+00:00,short,False,,,,,,,,,,,,,
2026-02-10,4,31136257,2026-02-10T03:39:30+00:00,short,False,,,,,,,,,,,,,
2026-02-10,5,31143429,2026-02-10T04:26:56+00:00,short,False,,,,,,,,,,,,,
2026-02-10,6,31144819,2026-02-10T04:38:08+00:00,long,True,31144827.0,2026-02-10T04:38:17+00:00,short,-0.42000000000007276,5023.73,True,201.228,True,201.228,-3.3800000000010186,2.4399999999986903,-0.42000000000007276,-5.800000000001091
2026-02-10,7,31145136,2026-02-10T04:41:08+00:00,long,True,31145162.0,2026-02-10T04:41:18+00:00,short,-0.6400000000003274,5023.94,True,20.228,True,20.228,-3.0600000000004,2.6399999999985084,0.9599999999991269,-2.1000000000012733
2026-02-10,8,31167822,2026-02-10T06:47:17+00:00,short,False,,,,,,,,,,,,,
2026-02-10,9,31167933,2026-02-10T06:47:55+00:00,short,False,,,,,,,,,,,,,
2026-02-10,10,31173128,2026-02-10T07:16:26+00:00,short,True,31173168.0,2026-02-10T07:16:49+00:00,long,-0.6100000000005821,5031.26,True,14.102,True,43.137,-1.9900000000016007,0.8299999999981083,0.1499999999987267,-4.200000000001637
2026-02-11,1,31362888,2026-02-11T03:07:21+00:00,long,True,31363016.0,2026-02-11T03:08:08+00:00,short,-0.8400000000001455,5050.13,False,,False,,-8.100000000000364,-1.6200000000008004,-4.059999999999491,-3.680000000000291
2026-02-11,2,31363591,2026-02-11T03:13:08+00:00,long,True,31363601.0,2026-02-11T03:13:12+00:00,short,-0.42000000000007276,5051.7,True,38.798,True,40.977,-2.5,12.520000000000437,0.25,2.069999999999709
2026-02-11,3,31387349,2026-02-11T06:15:39+00:00,short,True,31387367.0,2026-02-11T06:15:47+00:00,long,-0.7699999999995271,5056.7,True,64.31,True,71.649,-2.449999999999818,9.050000000000182,-0.8699999999998909,2.9400000000005093
2026-02-11,4,31398642,2026-02-11T07:19:22+00:00,long,False,,,,,,,,,,,,,
2026-02-11,5,31405958,2026-02-11T08:02:48+00:00,short,True,31406089.0,2026-02-11T08:03:43+00:00,long,-0.6799999999993815,5059.57,True,7.089,True,19.6,-0.5799999999990177,1.0800000000008367,-0.5299999999988358,-5.9299999999993815
2026-02-11,6,31457046,2026-02-11T13:03:59+00:00,short,False,,,,,,,,,,,,,
2026-02-11,7,31469474,2026-02-11T13:59:55+00:00,short,False,,,,,,,,,,,,,
2026-02-11,8,31474882,2026-02-11T14:24:28+00:00,long,True,31474901.0,2026-02-11T14:24:35+00:00,short,-0.8599999999996726,5068.08,True,70.896,False,,-11.38000000000011,0.019999999999527063,-5.359999999999673,-1.4200000000000728
2026-02-11,9,31502359,2026-02-11T16:20:49+00:00,long,True,31502508.0,2026-02-11T16:21:26+00:00,short,-0.6999999999998181,5053.0,True,0.417,True,3.137,-1.1400000000003274,3.019999999999527,-1.9099999999998545,-5.979999999999563
2026-02-11,10,31504175,2026-02-11T16:28:46+00:00,short,True,31504270.0,2026-02-11T16:29:14+00:00,long,-1.1700000000000728,5060.87,True,3.807,True,9.356,-1.8299999999999272,28.049999999999272,0.3500000000003638,12.840000000000146
2026-02-11,11,31539918,2026-02-11T19:36:58+00:00,long,True,31539941.0,2026-02-11T19:37:06+00:00,short,-1.0600000000004002,5086.54,True,87.764,True,93.803,-2.6800000000012005,9.0600000000004,-2.020000000001346,0.32999999999992724
2026-02-12,1,31622081,2026-02-12T05:29:19+00:00,long,True,31622201.0,2026-02-12T05:30:12+00:00,short,-1.6700000000000728,5069.54,True,49.308,True,49.308,-7.569999999999709,7.950000000000728,3.0399999999999636,4.4099999999998545
2026-02-12,2,31625655,2026-02-12T05:53:00+00:00,short,True,31625768.0,2026-02-12T05:53:56+00:00,long,-0.8200000000006185,5073.1,True,14.26,True,48.97,-1.7400000000006912,4.9999999999990905,0.749999999998181,-0.9600000000018554
2026-02-12,3,31648786,2026-02-12T08:28:09+00:00,long,True,31648870.0,2026-02-12T08:28:48+00:00,short,-0.6000000000003638,5064.57,True,0.223,True,0.748,-0.9600000000009459,23.099999999998545,1.679999999998472,7.219999999998436
2026-02-12,4,31659168,2026-02-12T09:45:49+00:00,short,True,31659285.0,2026-02-12T09:46:41+00:00,long,-0.22999999999956344,5074.23,True,15.493,True,15.493,-2.349999999998545,12.830000000001746,0.5000000000009095,5.990000000001601
2026-02-12,5,31659366,2026-02-12T09:47:20+00:00,short,True,31659376.0,2026-02-12T09:47:25+00:00,long,-0.7200000000002547,5074.52,True,172.369,True,175.151,-7.580000000000837,11.759999999999309,-2.840000000001055,1.9499999999989086
2026-02-12,6,31680289,2026-02-12T12:32:51+00:00,short,True,31680324.0,2026-02-12T12:33:08+00:00,long,-0.5599999999994907,5064.16,True,54.709,True,72.71,-1.9799999999995634,8.579999999999927,-0.20999999999912689,-0.009999999999308784
2026-02-12,7,31680357,2026-02-12T12:33:21+00:00,short,True,31680387.0,2026-02-12T12:33:38+00:00,long,-0.5799999999999272,5064.07,True,24.709,True,42.71,-1.319999999999709,8.739999999999782,-0.05999999999949068,0.5100000000011278
2026-02-12,8,31681304,2026-02-12T12:41:08+00:00,long,True,31681423.0,2026-02-12T12:42:07+00:00,short,-0.7200000000002547,5061.12,True,16.246,True,24.426,-1.6400000000003274,12.859999999999673,4.299999999999272,4.659999999998945
2026-02-12,9,31685781,2026-02-12T13:07:36+00:00,short,True,31685913.0,2026-02-12T13:08:25+00:00,long,-0.6500000000005457,5059.26,True,2.162,True,34.342,-1.0100000000011278,11.409999999998945,-0.9600000000009459,5.359999999999673
2026-02-12,10,31685960,2026-02-12T13:08:41+00:00,short,True,31685978.0,2026-02-12T13:08:47+00:00,long,-0.9099999999998545,5059.36,True,9.776,True,53.007,-1.389999999999418,11.010000000000218,0.8600000000005821,5.470000000000255
2026-02-12,11,31729908,2026-02-12T16:45:27+00:00,short,False,,,,,,,,,,,,,
2026-02-12,12,31744224,2026-02-12T17:42:56+00:00,long,False,,,,,,,,,,,,,
2026-02-12,13,31767476,2026-02-12T19:22:06+00:00,short,True,31767500.0,2026-02-12T19:22:13+00:00,long,-1.319999999999709,4943.53,False,,False,,-20.459999999999127,-1.2599999999983993,-7.43999999999869,-15.899999999999636
